Marca temporal,Alumno encuestador ,Sexo,Edad,Carrera,Ciclo:,¿Cuántas asignaturas cursas actualmente?,¿Recibes algún apoyo económico para estudiar UTEC?,¿Consume café?, En promedio ¿Cuántas tazas de café consumes en un día?,"Antes de ser alumno de UTEC, ¿cuántas tazas de café consumías al día aproximadamente?","Durante un día de exámenes, ¿Cuántas tazas de café consumes?",¿Con qué frecuencia tomas café diariamente?,¿Cuál fue tu promedio ponderado en el ciclo 2024-1? (Tal cual aparece en tu intranet de estudiante).,¿Dedicas tiempo extra al estudio cuando consumes café? ¿Cuánto?,Si tuvieras que describir tu rendimiento académico cuando consumes café ¿Cómo sería?,¿Cuál es tu estado de ánimo después de consumir café?,¿Cuál es el motivo por el que consumes café?,¿Consideras que vives muy lejos de la UTEC? sí/no,¿Qué intensidad de café prefieres?,¿A qué temperatura consumes tu café?,¿Cuál es el monto máximo que estás dispuesto a gastar en una buena taza de café? (en soles),¿Cuánto gastas en café a la semana?,¿Cuántas horas duermes en promedio aquellos días que tomas café? ,Tiempo aproximado entre cada taza de café que consumes. (Medido en horas),En promedio ¿Cuántas horas descansas por día?,¿Cuál es la cantidad máxima de horas antes de dormir en la que consumirías café? ,¿Cuál es el nivel de dependencia al café para mantenerte despierto durante las noches de estudio?,¿Cómo crees que te afecta el consumo de café?,¿Con qué frecuencia consumes café por la noche?,¿Qué tan frecuente te reúnes a tomar café con tus amigos?,¿Cuántas veces sueles ir a cafeterías a la semana? ,¿Cuántas cucharadas de azúcar le echas a una taza de café?,¿Te gusta acompañar el café con otros alimentos?,¿Cuántas horas duermes por la noche en promedio cuando consumes café?,¿Tu nivel de estrés cambia cuándo consumes café?,Si la respuesta anterior fue sí. ¿Cómo ha cambiado tu nivel de estrés después de consumir café?,"En una escala del 1 al 5, ¿Cómo calificarías el nivel de energía que sientes después de consumir café?
1: No me brinda nada de energía
3: Neutral
5: Me brinda mucha energía",¿Consideras que el consumo de café tiene algún efecto en tu bienestar físico o mental?,¿En qué lugar consumes café con mayor frecuencia?,¿En qué momento del día consumes café con mayor frecuencia?,¿En qué tipo de establecimiento compras café con mayor frecuencia?,¿Qué tipo de café prefieres tomar en tus jornadas de estudio?,¿Tu consumo de café cambió al ingresar a la universidad?
9/21/24 8:12,91,Masculino,19,Ingeniería Química,3,6,Ninguno,si,1,1,1,Rara vez,16.9,No dedico tiempo extra,Bueno,Despierto,Aumento de energía,No,Suave,Alta,4,0,7,"<1,2]",7,10,Ninguna,No me afecta,Rara vez,Nunca,0,2,Sí,7,No,Neutro,2,No afecta mi bienestar,En casa,En la mañana,Hago mi propio café,Café pasado,No cambio
9/21/24 9:59,52,Masculino,17,Ciencia de datos,2,7,Beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 10:02,52,Masculino,17,Ciencia de la Computación,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 10:02,52,Masculino,18,Ingeniería Mecatrónica,2,7,Ninguno,Sí,2,1,3,A veces,103,Más de 40 minutos,Bueno,Somnoliento,Aumento de concentración,No,Medio,Alta,8,50,6,más de 8,8,1,Moderada,Me afecta positivamente,Frecuentemente,Nunca,1,1.5,A veces,6,No,,3,No afecta mi bienestar,En casa,En la noche,Hago mi propio café,Mocaccino,Aumentó
9/21/24 10:03,52,Masculino,18,Bioingeniería,2,7,Ninguno,Sí,3,2,2,A veces,14,Más de 40 minutos,Bueno,Despierto,"Aumento de energía, Reducción de la Fatiga",si,Fuerte,Media,2,5,6,"<2,4]",6-7,2,Moderada,No me afecta,A veces,Rara vez,0,0,A veces,6,No,Neutro,4,"Sí, afecta tanto mi bienestar físico como mental",Las 2 primeras,En la noche,Hago mi propio café,Café Americano,Aumentó
9/21/24 10:26,85,Masculino,17,Ingeniería Industrial,2,5,Ninguno,Sí,1,0,2,A veces,16.6,No dedico tiempo extra,Bueno,Despierto,"Aumento de energía, Reducción de la Fatiga",sí,Suave,Media,5,4,4,más de 8,5,4,Moderada,Me afecta positivamente,A veces,Rara vez,1,2,Sí,5,Sí,Neutro,3,"Sí, afecta mi bienestar físico",En la universidad,En la tarde,Hago mi propio café,Capuccino,Aumentó
9/21/24 10:44,53,Femenino,18,Ciencia de la Computación,3,5,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 10:55,92,Femenino,17,Bioingeniería,2,7,Beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 11:22,92,Masculino,20,Ingeniería Civil,3,6,Beca,Sí,3,2,4,Siempre,14.6,Más de 40 minutos,Puede Mejorar,Despierto,"Aumento de energía, Estímulo de creatividad",Si,Medio,Media,4,30,4,"<6,8]",6-7,3,Baja,Me afecta positivamente,Frecuentemente,Nunca,0,2,A veces,5,No,Neutro,5,"Sí, afecta mi bienestar físico",En casa,En la mañana,Hago mi propio café,Café Americano,Aumentó
9/21/24 12:21,63,Femenino,18,Ciencia de datos,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 12:27,63,Masculino,23,Ingeniería de la Energía,8,4,Ninguno,Sí,4,1,5,Frecuentemente,15.66,No dedico tiempo extra,Bueno,Ansioso,"Aumento de energía, Reducción de la Fatiga, Aumento de concentración",Si,Suave,Baja,6,80,6,"<2,4]",7,6,Moderada,Me afecta positivamente,A veces,Rara vez,2,2,No,5,Sí,Neutro,5,"Sí, afecta mi bienestar físico",En la universidad,En la tarde,"""Bodegas"" como Listo, Tambo, etc",Capuccino,Aumentó
9/21/24 12:33,85,Femenino,18,Ingeniería Industrial,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 12:39,85,Femenino,18,Ingeniería Química,2,7,Ninguno,Sí,1,0,2,Frecuentemente,16.3,Más de 40 minutos,Bueno,Ansioso,"Aumento de energía, Reducción de la Fatiga",No,Suave,Media,20,18,2,"<6,8]",5,6,Moderada,No me afecta,A veces,Rara vez,1,0,A veces,2,No,,3,"Sí, afecta mi bienestar mental",En la universidad,En la mañana,Hago mi propio café,Capuccino,Aumentó
9/21/24 12:51,95,Femenino,17,Bioingeniería,2,5,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 12:56,95,Masculino,17,Administración y negocios digitales,2,7,Ninguno,Sí,1,1,2,A veces,15,No dedico tiempo extra,Bueno,Despierto,Aumento de energía,No,Medio,Media,5,7.5,6,más de 8,6,3,Moderada,Me afecta positivamente,Rara vez,Nunca,0,1,Sí,6,No,,4,"Sí, afecta mi bienestar mental",En casa,En la mañana,Hago mi propio café,Capuccino,Aumentó
9/21/24 12:57,95,Femenino,16,Ciencia de datos,2,8,Ninguno,Sí,12,18,2,Siempre,13,Menos de 20 minutos,Bueno,Estresado,Estímulo de creatividad,si,Medio,Media,3.5,50,2,"<1,2]",4,2,Moderada,No me afecta,Rara vez,Rara vez,4 a más,3,A veces,6,No,Neutro,3,No afecta mi bienestar,En la universidad,En la tarde,Cafetería Artesanal,"Café pasado, Capuccino, Mocaccino, Frapuccino",Disminuyó
9/21/24 13:01,75,Femenino,19,Ingeniería Ambiental,2,5,Semi-beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 13:04,95,Masculino,17,Ingeniería Mecatrónica,2,5,Ninguno,Sí,1,0,1,A veces,13,No dedico tiempo extra,Excelente,Empilado 😈,Por que es rico,Si,Muy Fuerte,Media,5,5,7,más de 8,7 30h,4,Ninguna,No me afecta,Rara vez,Nunca,2,0,No,7,No,,3,No afecta mi bienestar,En la universidad,No hay horario definido,"""Bodegas"" como Listo, Tambo, etc","Café Americano, Café pasado, Café Irlandés, Capuccino, Mocaccino, Cafe altomayo",Aumentó
9/21/24 13:05,55,Femenino,18,Ingeniería Química,2,7,Ninguno,Sí,1,0,1,Frecuentemente,17.2,Más de 40 minutos,Bueno,Ansioso,Aumento de energía,No,Medio,Media,25,0,2,"<2,4]",5,4,Alta,No me afecta,Rara vez,Rara vez,0,0,No,5,No,,4,"Sí, afecta mi bienestar mental",En casa,En la mañana,Hago mi propio café,Café pasado,Aumentó
9/21/24 13:09,85,Femenino,21,Ingeniería Industrial,7,5,Beca,Sí,1,1,1,A veces,17,Menos de 20 minutos,Bueno,Despierto,Estímulo de creatividad,No,Suave,Alta,3,8,6,más de 8,6,2,Baja,Me afecta positivamente,A veces,Nunca,0,4,A veces,6,Sí,Disminuye,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,No hay horario definido,Hago mi propio café,"Café Americano, Café pasado",No cambio
9/21/24 13:09,85,Masculino,18,Ingeniería Mecatrónica,4,7,Ninguno,Sí,1,0,2,A veces,14.65,Más de 40 minutos,Bueno,Despierto,"Aumento de energía, Aumento de concentración",no,Medio,Media,20,6,4,más de 8,9,7,Baja,Me afecta positivamente,A veces,Rara vez,1,2,Sí,4,No,,3,"Sí, afecta mi bienestar mental",En casa,En la mañana,Starbucks,"Café Americano, Capuccino",Aumentó
9/21/24 13:11,85,Masculino,18,Ingeniería Civil,4,5,Ninguno,Sí,1,0,1,Rara vez,14.38,Más de 40 minutos,Bueno,Somnoliento,Aumento de energía,No,Medio,Media,10,10,9,"<1,2]",7,8,Ninguna,Me afecta positivamente,A veces,Rara vez,1,1,Sí,10,Sí,Disminuye,4,No afecta mi bienestar,En casa,En la noche,Hago mi propio café,"Café Americano, Capuccino",Aumentó
9/21/24 13:28,85,Masculino,18,Ingeniería Mecatrónica,10,5,Ninguno,Sí,6,0,10,Siempre,16,Más de 40 minutos,Bueno,Todos,Aumento de energía,No,Muy Fuerte,Media,25,100,5,"<4,6]",4,4,Muy Alta,Me afecta positivamente,Siempre,Algunas veces,4 a más,2.5,Sí,2,Sí,Neutro,5,"Sí, afecta mi bienestar mental",En casa,No hay horario definido,Starbucks,Café Americano,Aumentó mucho
9/21/24 13:31,83,Masculino,20,Ingeniería Mecatrónica,3,6,Ninguno,Sí,1,0,2,Rara vez,16.85,Entre 20 a 40 minutos,Bueno,Ansioso,"Aumento de energía, Reducción de la Fatiga",sí,Medio,Media,7,5,3.5,más de 8,7,2,Muy Alta,Me afecta negativamente,Rara vez,Rara vez,1,5,Sí,4,Sí,Aumenta,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,En la noche,Hago mi propio café,Café Americano,Aumentó
9/21/24 13:35,91,Masculino,20,Ingeniería Mecatrónica,3,6,Ninguno,Sí,1,0,3,Rara vez,16.71,Más de 40 minutos,Bueno,Ansioso,Aumento de energía,sí,Medio,Alta,6,5,3,más de 8,6,1,Muy Alta,Me afecta negativamente,Rara vez,Rara vez,1,3,Sí,3,Sí,Aumenta,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,En la noche,Hago mi propio café,Café Americano,Aumentó
9/21/24 13:53,92,Femenino,18,Ingeniería Mecatrónica,2,6,Ninguno,Sí,0,1,1,A veces,10.8,Entre 20 a 40 minutos,Bueno,Concentrado,"Aumento de energía, Aumento de concentración",No,Medio,Media,2.5,2.5,5,más de 8,5 a 6,2,Baja,No me afecta,A veces,Nunca,0,2,Sí,5,No,,4,"Sí, afecta mi bienestar mental",En casa,No hay horario definido,Hago mi propio café,Café pasado,No cambio
9/21/24 13:53,85,Femenino,17,Ingeniería Química,1,6,Ninguno,Sí,3,3,5,Siempre,11,Más de 40 minutos,Bueno,Ansioso,"Aumento de energía, Reducción de la Fatiga",Sí ,Fuerte,Media,5,10,4,"<4,6]",4,1,Moderada,Me afecta negativamente,Frecuentemente,Rara vez,0,2,Sí,5,Sí,Aumenta,4,"Sí, afecta mi bienestar mental",En la universidad,En la mañana,"""Bodegas"" como Listo, Tambo, etc",Café pasado,Aumentó
9/21/24 14:48,85,Masculino,18,Ciencia de la Computación,2,5,Ninguno,Sí,1,0,2,Frecuentemente,16,Entre 20 a 40 minutos,Puede Mejorar,Concentrado,Aumento de concentración,Si,Medio,Media,25,25,7,"<4,6]",8,1,Moderada,Me afecta positivamente,Rara vez,Rara vez,1,2,Sí,7,Sí,Disminuye,4,"Sí, afecta mi bienestar mental",En casa,En la mañana,Hago mi propio café,Café pasado,No cambio
9/21/24 14:51,92,Masculino,20,Ingeniería Ambiental,4,6,Beca,Sí,4,2,3,A veces,15.2,Más de 40 minutos,Bueno,Despierto,Me gusta el sabor,si,Medio,Baja,3,10,4,más de 8,6,5,Moderada,No me afecta,A veces,Rara vez,1,3,No,4,Sí,Neutro,4,No afecta mi bienestar,En casa,En la mañana,Hago mi propio café,"Café Americano, Café pasado, Mocaccino",Aumentó
9/21/24 15:00,13,Femenino,21,Ingeniería Civil,8,6,Ninguno,Sí,2,0,3,Rara vez,15.4,Más de 40 minutos,Regular,Despierto,"Aumento de energía, Aumento de concentración",si,Medio,Media,5,6,5,"<1,2]",5,2,Baja,No me afecta,Rara vez,Nunca,0,2,No,5,Sí,Neutro,4,"Sí, afecta mi bienestar mental",En casa,En la noche,Hago mi propio café,instantaneo,Aumentó
9/21/24 15:06,13,Femenino,22,Ingeniería Industrial,7,4,Ninguno,Sí,2,0,3,Rara vez,16.8,Entre 20 a 40 minutos,Regular,Estresado,Aumento de energía,no se,Medio,Media,2.43,6,4,"<1,2]",5,1,Baja,No me afecta,Frecuentemente,Nunca,0,99,No,4,Sí,Neutro,4,"Sí, afecta mi bienestar mental",En la universidad,En la noche,Hago mi propio café,Café Americano,Aumentó
9/21/24 15:22,13,Masculino,19,Ciencia de datos,2,5,Ninguno,Sí,1,0,3,Rara vez,13.56,Entre 20 a 40 minutos,Excelente,Concentrado,"Reducción de la Fatiga, Estímulo de creatividad",no se,Medio,Alta,3,3,4,"<6,8]",7,3,Baja,Me afecta positivamente,Frecuentemente,Siempre,2,67,A veces,341,Sí,Aumenta,3,"Sí, afecta tanto mi bienestar físico como mental",En la universidad,En la tarde,Starbucks,"Café Americano, Café pasado, Café Irlandés, Capuccino, Mocaccino, ",Aumentó
9/21/24 15:35,13,Masculino,20,Ciencia de la Computación,4,5,Ninguno,Sí,3,1,5,Frecuentemente,12.4,Más de 40 minutos,Bueno,Concentrado,Aumento de concentración,tal vez,Medio,Media,2,3,5,más de 8,4,3,Baja,Me afecta negativamente,Rara vez,Algunas veces,0,23,A veces,6,Sí,Aumenta,2,"Sí, afecta mi bienestar físico",En la universidad,En la tarde,"""Bodegas"" como Listo, Tambo, etc","Café pasado, Capuccino",Aumentó
9/21/24 15:40,92,Femenino,20,Ingeniería Ambiental,6,4,Beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 15:52,92,Femenino,20,Ingeniería Ambiental,5,6,Beca,Sí,1,3,3,A veces,12,Entre 20 a 40 minutos,Bueno,Despierto,Aumento de energía,sí,Medio,Media,9,2.5,5,"<1,2]",7,1,Moderada,Me afecta positivamente,A veces,Rara vez,0,3,Sí,5,Sí,Aumenta,4,"Sí, afecta mi bienestar mental",En casa,En la noche,Hago mi propio café,"Capuccino, Mocaccino",Aumentó
9/21/24 16:12,92,Femenino,25,Ingeniería Industrial,3,6,Ninguno,Sí,1,0,2,Frecuentemente,17.4,Entre 20 a 40 minutos,Bueno,Concentrado,Aumento de concentración,Sí,Medio,Alta,4,15,7,más de 8,9,4,Baja,No me afecta,Frecuentemente,Nunca,0,3,Sí,7,Sí,Aumenta,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,En la noche,Hago mi propio café,Mocaccino,Aumentó
9/21/24 16:15,92,Masculino,23,Ciencia de la Computación,2,8,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 16:17,13,Masculino,17,Ingeniería de la Energía,1,6,Ninguno,Sí,1,0,4,A veces,13,Más de 40 minutos,Bueno,Concentrado,"Aumento de energía, Reducción de la Fatiga, Aumento de concentración",s,Suave,Baja,3,4,6,"<4,6]",3,5,Baja,Me afecta negativamente,A veces,Rara vez,0,2,A veces,4,No,,2,"Sí, afecta mi bienestar físico",En la universidad,En la mañana,"""Bodegas"" como Listo, Tambo, etc",Capuccino,Aumentó
9/21/24 16:20,85,Femenino,17,Ingeniería Mecatrónica,2,6,Ninguno,Sí,2,0,4,Frecuentemente,17,Más de 40 minutos,Bueno,Despierto,Aumento de energía,No,Fuerte,Media,14,24,4,"<4,6]",6,2,Alta,Me afecta positivamente,A veces,Algunas veces,4 a más,2,Sí,4,No,,4,No afecta mi bienestar,En la universidad,En la tarde,Cafetería Artesanal,Café Americano,Aumentó
9/21/24 16:24,92,Femenino,18,Sistemas de Información,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 17:18,92,Femenino,20,Ingeniería Industrial,6,5,Beca,Sí,1,2,2,A veces,15.4,Menos de 20 minutos,Regular,Despierto,Aumento de energía,no,Suave,Baja,2.5,10,5,"<6,8]",7,3,Baja,Me afecta negativamente,A veces,Nunca,1,2,Sí,5,Sí,Aumenta,4,No afecta mi bienestar,En casa,En la tarde,Hago mi propio café,Café Americano,Disminuyó
9/21/24 17:57,54,Masculino,20,Bioingeniería,3,3,Semi-beca,Sí,3,1,3,Frecuentemente,13,Entre 20 a 40 minutos,Excelente,Despierto,"Aumento de energía, Aumento de concentración",sí,Medio,Media,23,30,9,"<2,4]",9,2,Moderada,No me afecta,Rara vez,Algunas veces,2,1,A veces,6,No,,5,"Sí, afecta mi bienestar mental",En casa,En la mañana,Hago mi propio café,"Café Americano, Capuccino",No cambio
9/21/24 17:58,54,Femenino,21,Ingeniería Ambiental,5,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 17:58,13,Masculino,18,Administración y negocios digitales,2,5,Ninguno,Sí,2,2,5,Rara vez,12.7,Entre 20 a 40 minutos,Bueno,Ansioso,"Aumento de energía, Estímulo de creatividad",si,Suave,Media,3,3,4,"<1,2]",5,1,Baja,Me afecta muy negativamente,Rara vez,Rara vez,0,23,Sí,1334,Sí,Aumenta,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,En la mañana,Cafetería Artesanal,"Café pasado, Café Irlandés",Aumentó
9/21/24 17:59,94,Masculino,19,Ingeniería Industrial,6,5,Ninguno,Sí,1,0,1,Rara vez,14.6,No dedico tiempo extra,Regular,Despierto,Aumento de energía,si,Suave,Media,14,15,7,más de 8,1,6,Ninguna,No me afecta,Rara vez,Nunca,0,2,A veces,7,No,,3,No afecta mi bienestar,En la universidad,En la mañana,"""Bodegas"" como Listo, Tambo, etc",Café Americano,Aumentó
9/21/24 18:04,94,Masculino,20,Ciencia de la Computación,7,6,Ninguno,Sí,2,0,3,A veces,14.4,Entre 20 a 40 minutos,Bueno,Concentrado,"Aumento de energía, Aumento de concentración",no,Medio,Media,10,35,6,"<2,4]",0,1,Moderada,Me afecta positivamente,A veces,Rara vez,0,2,No,6,Sí,Disminuye,3,"Sí, afecta mi bienestar físico",En la universidad,No hay horario definido,Starbucks,Capuccino,Aumentó mucho
9/21/24 18:09,94,Femenino,18,Bioingeniería,3,6,Ninguno,Sí,1,1,2,Frecuentemente,15.2,Menos de 20 minutos,Regular,Despierto,Me gusta,si,Fuerte,Alta,15,40,6.5,"<2,4]",0,3,Ninguna,Me afecta positivamente,A veces,Algunas veces,2,1,A veces,6,Sí,Neutro,2,"Sí, afecta tanto mi bienestar físico como mental",En casa,No hay horario definido,Hago mi propio café,Café pasado,No cambio
9/21/24 18:17,94,Masculino,17,Ingeniería Mecatrónica,1,7,Semi-beca,Sí,1,1,1,Rara vez,soy cachimbo,No dedico tiempo extra,Bueno,neutro,"Reducción de la Fatiga, Socializar",no,Muy Fuerte,Media,8,15,6,"<4,6]",1,4,Baja,No me afecta,Rara vez,Nunca,1,1.5,Sí,6,No,,2,No afecta mi bienestar,En la universidad,En la tarde,"""Bodegas"" como Listo, Tambo, etc",Café Americano,No cambio
9/21/24 18:21,92,Femenino,19,Ingeniería Civil,3,7,Beca,Sí,1,0,2,A veces,14.5,Más de 40 minutos,Bueno,Concentrado,"Aumento de energía, Reducción de la Fatiga, Estímulo de creatividad",No,Medio,Media,10,20,6,más de 8,7,2,Baja,No me afecta,Rara vez,Rara vez,2,1,A veces,6,No,,4,No afecta mi bienestar,En casa,En la mañana,Hago mi propio café,"Café Americano, Capuccino",Aumentó
9/21/24 19:03,92,Femenino,19,Ingeniería Ambiental,3,5,Semi-beca,Sí,1,0.2,0,A veces,17,No dedico tiempo extra,Bueno,Concentrado,"Aumento de energía, Reducción de la Fatiga",Si,Suave,Alta,13,15,7,más de 8,7,5,Ninguna,No me afecta,Rara vez,Algunas veces,1,1,Sí,7,No,Neutro,3,"Sí, afecta mi bienestar físico",En casa,En la tarde,Hago mi propio café,Capuccino,No cambio
9/21/24 19:12,85,Masculino,17,Ingeniería Industrial,2,5,Ninguno,Sí,3,2,2,Siempre,14.9,Entre 20 a 40 minutos,Bueno,Despierto,Reducción de la Fatiga,si,Fuerte,Media,7,15,7,más de 8,7,2,Baja,Me afecta positivamente,Siempre,Rara vez,0,1.5,Sí,7,No,,4,No afecta mi bienestar,En casa,En la mañana,"""Bodegas"" como Listo, Tambo, etc",Café pasado,No cambio
9/21/24 19:17,92,Femenino,17,Ingeniería Mecatrónica,2,6,Ninguno,Sí,2,1,3,Frecuentemente,11,Entre 20 a 40 minutos,Bueno,Despierto,"Aumento de energía, Aumento de concentración",Sí,Fuerte,Alta,7,4,6,"<4,6]",6,3,Alta,Me afecta positivamente,A veces,Nunca,1,0,Sí,6,No,,3,"Sí, afecta mi bienestar mental",En casa,En la tarde,Hago mi propio café,"Café Americano, Café pasado",No cambio
9/21/24 19:42,11,Masculino,19,Ingeniería Civil,3,6,Semi-beca,Sí,2,5,2,A veces,15.6,Más de 40 minutos,Bueno,Despierto,"Aumento de energía, Reducción de la Fatiga",si,Muy suave,Media,5,14,7,"<4,6]",2,4,Moderada,Me afecta muy positivamente,A veces,Rara vez,2,3,Sí,6,No,Disminuye,2,"Sí, afecta mi bienestar físico",En la universidad,En la mañana,Starbucks,XDDDD,No cambio
9/21/24 19:44,91,Femenino,21,Ingeniería Ambiental,2,6,Ninguno,Sí,2,4,4,A veces,16.2,Entre 20 a 40 minutos,Bueno,Ansioso,Reducción de la Fatiga,no,Suave,Baja,12,15,4,"<2,4]",4,7,Ninguna,Me afecta negativamente,A veces,Nunca,2,2,A veces,7,Sí,Disminuye,2,"Sí, afecta mi bienestar físico",En casa,En la tarde,"""Bodegas"" como Listo, Tambo, etc",Café Irlandés,Aumentó
9/21/24 19:49,93,Masculino,18,Ingeniería Industrial,4,5,Semi-beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 19:59,21,Masculino,18,Ingeniería Mecatrónica,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 20:00,21,Masculino,17,Ingeniería Mecánica,2,6,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 20:12,71,Femenino,19,Ingeniería Ambiental,4,5,Ninguno,Sí,2,1,3,Frecuentemente,15.02,Más de 40 minutos,Bueno,Ansioso,"Aumento de energía, Aumento de concentración",no,Fuerte,Alta,15,35,6,"<4,6]",6,1,Alta,Me afecta positivamente,Frecuentemente,Algunas veces,1,0,A veces,6,Sí,Aumenta,4,No afecta mi bienestar,En casa,En la mañana,Hago mi propio café,"Café pasado, Capuccino",Aumentó
9/21/24 20:20,21,Masculino,21,Ingeniería Mecánica,2,6,Ninguno,Sí,1,1,1,A veces,15,Entre 20 a 40 minutos,Bueno,Despierto,"Estímulo de creatividad, Gusto",N0,Medio,Media,10,18,8,"<6,8]",7,3,Ninguna,Me afecta positivamente,A veces,Algunas veces,2,2,A veces,8,No,,4,No afecta mi bienestar,En casa,No hay horario definido,Cafetería Artesanal,"Café pasado, Capuccino",No cambio
9/21/24 20:30,55,Femenino,17,Administración y negocios digitales,2,5,Ninguno,Sí,2,1,5,Frecuentemente,13.4,Más de 40 minutos,Bueno,Despierto,Aumento de energía,Si,Suave,Baja,20,80,5,"<4,6]",3,4,Moderada,Me afecta positivamente,A veces,Rara vez,3,2,Sí,5,Sí,Aumenta,4,"Sí, afecta mi bienestar mental",En la universidad,En la tarde,Starbucks,"Capuccino, Mocaccino",Aumentó
9/21/24 20:34,92,Femenino,21,Ingeniería Ambiental,6,4,Beca,Sí,2,1,4,Frecuentemente,12,Más de 40 minutos,Bueno,Despierto,Reducción de la Fatiga,No,Medio,Media,5,4,5,"<6,8]",6,2,Moderada,Me afecta positivamente,Frecuentemente,Algunas veces,1,3,No,5,Sí,Disminuye,4,No afecta mi bienestar,En casa,En la noche,Hago mi propio café,Café Americano,Aumentó
9/21/24 20:36,91,Femenino,18,Ingeniería Ambiental,2,5,Ninguno,Sí,1,0,2,A veces,13.55,Más de 40 minutos,Regular,Despierto,Aumento de energía,si,Fuerte,Alta,15,0,5,más de 8,6,4,Moderada,Me afecta negativamente,Rara vez,Nunca,0,2,Sí,5,No,,4,"Sí, afecta tanto mi bienestar físico como mental",En casa,No hay horario definido,Hago mi propio café,"Café Americano, Café pasado",Aumentó
9/21/24 20:42,65,Masculino,21,Ingeniería Mecánica,7,5,Semi-beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 20:44,65,Masculino,20,Ingeniería Industrial,4,6,Semi-beca,Sí,3,1,4,Frecuentemente,12.45,Entre 20 a 40 minutos,Bueno,Concentrado,Aumento de concentración,Si,Medio,Alta,10,20,6,"<6,8]",6,1,Moderada,Me afecta positivamente,Rara vez,Algunas veces,2,2,Sí,6,No,,4,"Sí, afecta mi bienestar mental",En casa,En la mañana,"""Bodegas"" como Listo, Tambo, etc",Café Americano,Aumentó
9/21/24 21:08,51,Femenino,19,Ingeniería Ambiental,2,7,Semi-beca,Sí,2,0,4,Frecuentemente,14.7,Más de 40 minutos,Bueno,Despierto,"Aumento de energía, Aumento de concentración",si,Fuerte,Media,11,15,8,"<2,4]",8,6,Alta,Me afecta positivamente,Rara vez,Algunas veces,1,0,No,8,Sí,Disminuye,5,"Sí, afecta mi bienestar mental",En la universidad,En la mañana,Hago mi propio café,"Café Americano, Café pasado",Aumentó mucho
9/21/24 21:16,51,Femenino,20,Ingeniería Mecánica,3,5,Beca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/24 21:23,51,Masculino,20,Bioingeniería,4,6,Semi-beca,Sí,1,0,3,Frecuentemente,12.3,Entre 20 a 40 minutos,Bueno,Concentrado,"Aumento de energía, Aumento de concentración",no,Medio,Baja,9,10,8,"<4,6]",8,4,Moderada,No me afecta,A veces,Nunca,0,2,Sí,8,No,,4,No afecta mi bienestar,En la universidad,En la tarde,"""Bodegas"" como Listo, Tambo, etc","Café pasado, Capuccino",Aumentó
9/21/24 22:48,92,Femenino,20,Bioingeniería,3,6,Beca,Sí,7,3,2,Frecuentemente,14.92,Entre 20 a 40 minutos,Excelente,Despierto,Aumento de concentración,No,Medio,Media,7,20,8,"<1,2]",8,10,Muy Alta,Me afecta muy negativamente,Frecuentemente,Algunas veces,2,7,No,9,No,Aumenta,3,"Sí, afecta tanto mi bienestar físico como mental",En la universidad,No hay horario definido,Cafetería Artesanal,Café Irlandés,Aumentó mucho
9/22/24 10:09,54,Femenino,21,Ingeniería Civil,6,4,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/24 10:10,11,Masculino,24,Administración y negocios digitales,5,7,Ninguno,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
